article,label
    눈물 닦는 심상정  사진연합뉴스정의당 심상정 대표는 오늘16일 고단한 정의당의 길을 함께 개척해온 우리 자랑스러운 후보들을 더 많이 당선시키지 못해서 정말 미안하다고 말했습니다심 대표는 이날 선거대책위원회 해단식에서 이번 총선은 수구 보수세력에 대한 준엄한 심판이 이뤄졌지만 양당정치의 강화 지역구도 부활 선거개혁 와해 등 정치개혁 후퇴라는 역사적 오점을 함께 남겼다며 이같이 말했습니다심 대표는 그러면서 낡은 양당정치 구도의 벽을 넘지는 못했지만 무릎을 꿇지는 않았다며 지역 후보들은 악전고투하면서 마지막까지 정의당의 이름으로 선거를 치렀다고 밝혔습니다그러면서 정당득표율 967를 기록한 것과 관련 10에 육박하는 지지율에도 여전히 300석 중 2에 불과한 의석을 갖게 됐다며 몹시 아쉬운 결과지만 원칙을 선택했을 때 어느 정도 각오한 만큼 겸허히 받아들인다고 했습니다아울러 슈퍼여당의 시대에 진보야당의 역할이 더욱 막중하다는 점을 유념하겠다며 국회의 장벽을 넘지 못한 여성 청년 녹색 소수자의 삶을 헌신적으로 대변하겠다고 강조했습니다이어 최선을 다한 당원들과 정의당의 홀로서기를 응원해주신 국민께 더 좋은 결과를 보여드리지 못해 죄송하다며 20년을 외롭고 험한 길을 걸어왔지만 정의당은 다시 시작하겠다고 강조했습니다그러면서 진보 대안 세력으로서 길을 찾아가겠다며 집권 여당이 기득권 앞에서 주저하고 망설일 때 개혁의 방향과 속도를 견인해나가겠다고 말했습니다이날 해단식은 침울한 분위기 속에서 진행됐습니다 최소 10석 확보에 교섭단체 구성을 최대 목표로 삼았지만 6석 현상 유지라는 기대에 미치지 못하는 결과를 받아들었기 때문입니다모두발언을 이어가던 심 대표도 결국 눈물을 보였습니다 특히 고단한 정의당의 길을 언급하는 대목에서는 감정이 북받친 듯 잠시 말을 잇지 못했습니다 온라인뉴스팀▶네이버 메인에서 뉴스를 만나보세요▶ 무료 고화질 온에어 서비스     무단전재 및 재배포 금지 	,0
동영상 뉴스     국민의선택정의당 심상정 대표는 오늘16일 고단한 정의당의 길을 함께 개척해온 우리 자랑스러운 후보들을 더 많이 당선시키지 못해서 정말 미안하다고 말했습니다심 대표는 오늘 정의당 선거대책위원회 해단식에서 이번 총선은 수구 보수세력에 대한 준엄한 심판이 이뤄졌지만 양당정치의 강화 지역구도 부활 선거개혁 와해 등 정치개혁 후퇴라는 역사적 오점을 함께 남겼다며 이같이 말했습니다심 대표는 그러면서 낡은 양당정치 구도의 벽을 넘지는 못했지만 무릎을 꿇지는 않았다며 지역 후보들은 악전고투하면서 마지막까지 정의당의 이름으로 선거를 치렀다고 밝혔습니다그러면서 정당득표율 967를 기록한 것과 관련 10에 육박하는 지지율에도 여전히 300석 중 2에 불과한 의석을 갖게 됐다며 몹시 아쉬운 결과지만 원칙을 선택했을 때 어느 정도 각오한 만큼 겸허히 받아들인다고 했습니다아울러 슈퍼여당의 시대에 진보야당의 역할이 더욱 막중하다는 점을 유념하겠다며 국회의 장벽을 넘지 못한 여성 청년 녹색 소수자의 삶을 헌신적으로 대변하겠다고 강조했습니다이어 최선을 다한 당원들과 정의당의 홀로서기를 응원해주신 국민께 더 좋은 결과를 보여드리지 못해 죄송하다며 20년을 외롭고 험한 길을 걸어왔지만 정의당은 다시 시작하겠다고 강조했습니다그러면서 진보 대안 세력으로서 길을 찾아가겠다며 집권 여당이 기득권 앞에서 주저하고 망설일 때 개혁의 방향과 속도를 견인해나가겠다고 말했습니다해단식은 침울한 분위기 속에서 진행됐습니다최소 10석 확보에 교섭단체 구성을 최대 목표로 삼았지만 6석 현상 유지라는 기대에 미치지 못하는 결과를 받아들었기 때문입니다모두발언을 이어가던 심 대표도 결국 눈물을 보였습니다특히 고단한 정의당의 길을 언급하는 대목에서는 감정이 북받친 듯 잠시 말을 잇지 못했습니다영상취재  이승환 영상편집  김희선     신정은 기자▶  국민의 선택 21대 총선 결과 보기▶ 코로나19 속보 ※         무단복제 및 재배포 금지	,0
    정의당 선대위 해단식서 눈물 심상정 “20년 고된 길 다시 새롭게 시작하겠다”오마이뉴스 글유성애 사진권우성   정의당 심상정 대표가 16일 오전 여의도 국회에서 열린 21대 총선 선대위 해단식에서 고생한 후보와 당원들에게 감사 인사를 전하며 눈물을 닦고 있다  권우성기사 대체 16일 오후 2시무엇보다 입술을 깨물고 잠시 침묵한 뒤 무엇보다 모든 것을 바쳐서 고단한 정의당의 길을 함께 개척해온 우리 자랑스러운 후보들을 더 많이 당선시키지 못해서 정말 미안합니다 고생한 후보들과 당원들에게 감사를 전합니다노란 셔츠에 검은 정장을 입은 심상정 대표가 끝내 눈물을 흘렸다 목소리는 자꾸 갈라졌다 16일 오전 정의당 중앙선거대책위 해단식에서다담담하고 차분하게 발언하던 심 대표는 고 노회찬 원내대표의 말을 인용하면서부터 목소리가 흔들렸다 그는 당은 당당히 앞으로 나아가라는 말씀 앞에 다시 선다 가장 험하다고 느낄 때 목표에 한 발 더 다가간 것이다 정의당은 20년 외롭고 고된 길을 걸어왔지만 또다시 시작하겠다라고 말한 뒤 당 지역구·비례 후보들에게 미안함을 전했다심 대표는 함께 고단한 길을 개척해온 우리 후보들을 더 당선시키지 못해 미안하다고 말하면서 끝내 다음 말을 잇지 못하고 고개를 숙였다 입술을 깨물며 울음을 참았으나 눈물이 흘렀고 결국 대변인이 전해 준 휴지로 눈가를 훔쳤다 심 대표를 지켜보던 배복주·이은주 등 다른 후보들 또한 눈가가 벌게져 있었다   정의당 심상정 대표가 16일 오전 여의도 국회에서 열린 21대 총선 선대위 해단식에서 발언하고 있다  권우성슈퍼여당 시대 역할 막중 지역구도 부활·선거개혁 와해 오점도심 대표는 이날 문재인 정부가 멈추지 말고 개혁하라는 게 슈퍼여당을 만든 국민의 명령이라고 평가했다 그는 촛불 혁명 뒤 첫 총선에선 무엇보다 미래통합당·수구 보수 세력에 대해 무서운 심판이 이뤄졌다며 박근혜 전 대통령 탄핵 뒤 제대로 된 반성 없이 4년간 국회를 마비시키고 개혁을 거부한 그들을 국민은 용서하지 않았다고 말했다다만 심 대표는 이번 결과에 아쉬움도 표했다 그는 총선에선 양당정치 강화와 지역구도 부활 선거개혁 와해 등 정치개혁의 후퇴라는 역사적 오점을 함께 남겼다며 75명 지역 후보들은 악전고투하면서 마지막까지 정의당 이름으로 선거를 치렀다 정의당은 낡은 양당정치구도의 벽을 넘지는 못했지만 무릎 꿇지 않았다라고 강조했다앞서 비례위성정당에 참여하지 않고 원칙을 강조해온 정의당은 지역구·비례 등 총 의석수 6석에 그칠 전망이다 현역 의원 6명도 심 대표경기 고양갑를 제외하고는 생환하지 못했다 정의당은 그간 진보정당 사상 최초로 시민선거인단 등 개방형 경선제를 도입 장애인·이주민 당사자 후보를 내는 등 노력했으나 이 또한 빛을 발하지 못했다관련 기사 정의당 장애여성·정치엄마 후보의 등장개표 결과 정의당 최종 득표율은 967로 집계됐다 심 대표는 약 267만 명 국민 10명 중 1명이 정의당을 택했다 태풍의 한 가운데서도 정의당을 지켜준 국민께 감사하다며 약10 지지율에도 정의당은 여전히 300석 중 2 목소리만을 가지게 돼 몹시 아쉽다 그러나 원칙을 선택했을 때 각오한 만큼 겸허히 받아들인다라고 했다그는 최선을 다한 당원들과 정의당의 홀로서기를 응원해 주신 국민 여러분께 더 좋은 결과를 보여드리지 못해 죄송하다라고 재차 사과했다 이어 슈퍼 여당 시대에 진보야당의 역할이 더 막중하다는 걸 유념하겠다며 국회 장벽을 넘지 못한 여성·청년·녹색·소수자 삶을 대변하겠다 집권여당이 기득권 앞에서 망설일 때 개혁을 견인하겠다라고 말했다원내교섭단체 좌절 연동형 비례제 노회찬 필생 사명이었는데비례 의석이 5석에 그칠 것으로 예견되면서 당 분위기는 매우 침울한 상태다 땅콩회항으로 알려진 비례 6번 박창진 전 대한항공 승무원과 7번 배복주 전 전국성폭력상담소 대표 9번 이자스민 전 의원 등은 국회 입성이 어렵게 됐다 당 지도부가 애초 목표로 내건 원내교섭단체 구성최소 20석도 좌절됐다 한 당내 인사는 초상집 분위기라고 전했다     정의당 심상정 대표가 16일 오전 여의도 국회에서 열린 21대 총선 선대위 해단식에 참석하고 있다  권우성심 대표는 지난 14일 라디오에서 노회찬 대표께서는 연동형 비례대표제를 필생의 사명으로 생각했다고 말했다 그러나 비례투표마저 여야 거대정당의 위성정당인 미래한국당·더불어시민당에 몰리면서 선거제 개혁 일환으로 도입된 준연동형 비례대표제 또한 의미가 퇴색됐다는 평가를 받고 있다관련 기사 거대 양당에 쏠린 비례투표 퇴색된 준연동형 비례제 취지이날 심 대표는 눈물을 쏟은 뒤 더 말을 잇지 못했고 회의는 곧 이어 비공개로 전환됐다 당 대변인실은 이후 심 대표가 하려고 했던 마지막 발언을 서면으로 전했다오늘은 세월호 참사 6주기입니다 세월호는 아직 끝나지 않았습니다 사랑하는 가족을 가슴에 묻은 유족들께 깊은 위로의 말씀을 드립니다 세월호 참사 뒤 대한민국은 달라져야 합니다 세월호가 남긴 정신을 깊이 새기겠습니다 그리고 참사에 희생된 영령들이 남긴 국가란 무엇인가란 물음에 더 책임 있게 응답하기 위해 끝까지 사력을 다하겠습니다저작권자 오마이뉴스시민기자 무단 전재 및 재배포 금지▶한눈에 보는 4·15 총선 판세▶코로나19 속보 보기 오라이브▶용감하게 성교육 이런 질문 해도 되나요,0
    제21대 총선에서 기대에 한참 못 미치는 성적표를 받아든 정의당 심상정 대표가 끝내 눈물을 쏟았다심 대표는 16일 오전 국회에서 열린 중앙선거대책위원회 해단식에서 “무엇보다… 무엇보다…라고 말하려다가 눈물을 보이며 말을 잇지 못했다이어 “모든것을 바쳐 고단한 정의당의 길을 함께 개척해온 우리…”라고 겨우 말을 이어갔지만 다시 멈추고 눈물을 삼켰다 그는 “우리 자랑스러운 후보들을 더 많이…당선시키지 못해서 정말 미안합니다…”라고 말한 후 오열했다정의당은 이번 총선에서 지역구는 경기 고양갑 심 대표만 유일하게 살아남았고 비례대표는 목표치를 크게 밑도는 5석 정도만 확보할 것으로 전망되고 있다당초 이번 총선에서 교섭단체20석 구성을 목표로 총선에 임했고 적어도 10명 이상의 의원을 배출할 것으로 내심 기대했지만 겨우 ‘현상 유지’만 바라봐야하는 초라한 성적표를 받게 됐다 20대 국회 현재 정의당의 의석수는 6석이다 이날 해단식에 침통한 얼굴로 참석한 심 대표는 우선 “국민 10명 중 1명이 정의당을 선택해주셨다 지난 대선보다 많은 267만명의 시민들이 정의당을 지지해줬다”며 “과거 세력 퇴출이라는 민심의 태풍 한 가운데에서도 정의당을 지켜주신 국민께 감사드린다”고 말했다하지만 이어 “정의당은 10에 육박하는 지지율에도 여전히 300석 중 2에 불과한 의석을 갖게 됐다”며 “몹시 아쉬운 결과지만 원칙을 선택했을 때 어느 정도 각오했다 겸허히 받아들인다”고 고개를 숙였다그러면서 “정의당은 당당히 앞으로 나아가라는 말씀 앞에 다시 선다 가장 멀고 험하다고 느낄 때 목표에 한 발 더 다가가는 것”이라며 “20년을 외롭고 고된 길을 걸어왔지만 정의당은 또다시 시작하겠다”고 다짐을 전했다박태근 동아닷컴 기자 ▶ 네이버에서 동아일보 채널 구독하기▶ 집 볼 때 쓰는 메모장 집보장 동아일보   무단 전재 및 재배포 금지	,0
    		서울신문북한 간부들 태양절 맞아 금수산궁전 참배  북한 고위간부들이 지난 15일 김일성 주석의 108회 생일태양절·415을 맞아 김일성·김정일 시신이 있는 금수산태양궁전을 참배했다고 조선중앙통신이 16일 보도했다 2020416연합뉴스코로나19 확산 사태로 외부 행보 자제 가능성북한 고위간부들이 김일성 주석의 108회 생일태양절·415을 맞아 금수산태양궁전을 참배했지만 김정은 국무위원장은 참석하지 않은 것으로 보인다 김 위원장이 2012년 공식 집권 이후 할아버지인 김 주석의 생일에 참배하지 않은 건 이번이 처음이다조선중앙통신과 조선중앙 조선중앙방송 등 북한 관영 매체들은 16일 오전 6시부터 오후 1시 현재까지 당과 정부의 간부들 무력기관 책임일꾼간부들이 전날 김일성·김정일의 시신이 있는 금수산태양궁전을 찾았다는 소식을 전했다공개된 사진들을 보면 최룡해 최고인민회의 상임위원장 겸 국무위원회 제1부위원장 박봉주 국무위원회 부위원장 김재룡 내각 총리와 정치국 위원 및 후보위원 등 핵심 간부 수십명이 자리했다북한 간부들 태양절 맞아 금수산궁전 참배  북한 고위간부들이 지난 15일 김일성 주석의 108회 생일태양절을 맞아 김일성김정일 시신이 있는 금수산태양궁전을 참배했다고 조선중앙통신이 16일 보도했다 2020416 연합뉴스하지만 김 위원장이 금수산태양궁전을 참배했다는 보도는 없었다 김 위원장 명의의 꽃바구니만 있을 뿐 김 위원장의 모습은 보이지 않았다이에 따라 이번에는 김 위원장이 코로나19 확산 사태로 외부 행보를 자제했을 거라는 관측이 나온다다만 김 위원장이 이달 들어 당 정치국 회의와 최고인민회의를 비롯해 군부대 시찰까지 연이어 진행한 만큼 다른 이유가 있을 것이라는 해석도 나온다김정은 위원장 노동당 정치국 회의 발언  북한은 지난 11일 김정은 국무위원장이 주재로 노동당 정치국 회의를 열고 신종 코로나바이러스 감염증코로나19 대응방안 등을 논의했다고 12일 조선중앙통신이 보도했다 김정은 위원장이 정치국 회의에서 발언하고 있다 2020412 연합뉴스최선을 기자 ▶ 네이버에서 서울신문 구독하기 클릭 ▶ 세상에 이런 일이 ▶ 연예계 뒷얘기 클릭 서울신문 무단전재 및 재배포금지	,0
    		서울연합뉴스 박수윤 기자  북한 고위간부들이 김일성 주석의 108회 생일태양절·415을 맞아 김일성·김정일 시신이 있는 금수산태양궁전을 참배했지만 김정은 국무위원장은 참석하지 않은 것으로 보인다    조선중앙통신과 조선중앙 조선중앙방송 등 북한 관영 매체들은 이날 오전 6시부터 오후 1시 현재까지 당과 정부의 간부들과 무력기관 책임일꾼간부들이 전날 금수산태양궁전을 찾았다는 소식을 전했다    그러나 김정은 위원장이 금수산태양궁전을 참배했다는 보도는 없었다    조선중앙통신 등에 따르면 북한 고위간부들은 노동당 중앙위원회 국무위원회 최고인민회의 상임위원회 내각 등 명의로 된 꽃바구니를 헌화했다     공개된 사진들을 보면 최룡해 최고인민회의 상임위원장 겸 국무위원회 제1부위원장 박봉주 국무위원회 부위원장 김재룡 내각 총리와 정치국 위원 및 후보위원 등 핵심 간부 수십 명이 자리했다    김 위원장 명의의 꽃바구니는 있지만 김 위원장의 모습은 보이지 않았다 금수산태양궁전에 헌화된 김정은 명의 꽃바구니서울연합뉴스 북한 김일성 주석의 108회 생일태양절·415을 맞아 고위급 간부들이 지난 15일 김 주석의 시신이 안치된 평양 금수산 태양궁전을 참배했다고 16일 노동당 기관지 노동신문이 1면에 보도했다 김정은이라고 적힌 꽃바구니가 김일성 주석·김정일 국방위원장 동상 앞에 놓여있다 2020416 노동신문 홈페이지 캡처 재판매 및  금지 김정은 위원장이 2012년 공식 집권 이후 할아버지 김 주석의 생일에 참배하지 않은 건 이번이 처음이다     김정은 위원장은 지난해까지 김 주석의 생일에 늘 고위 간부들을 대동하고 금수산궁전을 참배했으며 북한 매체들도 이를 당일이나 다음날 오전 6시 보도했으나 이번엔 관련 보도가 나오지 않았다    이에 따라 이번에는 김정은 위원장이 신종 코로나바이러스 감염증코로나19 확산 사태로 외부 행보를 자제했을 거라는 관측이 나온다     다만 김 위원장이 이달 들어 당 정치국 회의와 최고인민회의를 비롯해 군부대 시찰까지 연이어 진행한 만큼 다른 이유가 있을 것이라는 해석도 있다한편 김 위원장은 이번 김일성 생일에 전국의 학생소년들에게 선물을 보냈다    조선중앙방송은 이날 김 위원장이 태양절을 맞아 전국의 원아들고아들과 어린이들 학생소년들 보양생들에게 은정 어린 선물을 보내주셨다고 보도했다북한 고위 간부들 태양절 맞아 금수산태양궁전 참배서울연합뉴스 북한 김일성 주석의 108회 생일태양절·415을 맞아 고위급 간부들이 지난 15일 김 주석의 시신이 안치된 평양 금수산 태양궁전을 참배했다고 16일 노동당 기관지 노동신문이 1면에 보도했다 맨 앞줄에 최룡해 최고인민회의 상임위원장 겸 국무위원회 제1부위원장 박봉주 국무위원회 부위원장 김재룡 내각 총리 등이 자리했는데 김정은 국무위원장의 모습은 보이지 않는다 2020416 노동신문 홈페이지 캡처 재판매 및  금지  ▶코로나19 속보는 네이버 연합뉴스에서 구독 클릭▶팩트체크 5 네트워크가 코로나 전파▶제보하기,0
    북한 고위 간부들만 금수산태양궁전 참배김정은 공개 활동 없이 조화만 포착건강 이상설 신종 코로나 우려설 등 제기신종 코로나바이러스 감염증코로나 19의 확산을 경계하며 연초부터 국경을 닫으며 밀봉 정책을 펼쳤던 북한의 최근 움직임이 예사롭지 않다 최고인민회의를 이틀 연기한 데 이어 각종 기념행사를 대폭 줄이고 있어서다      특히 김정은 북한 국무위원장의 행보에서 이례적인 모습이 감지되고 있다 각종 기념일에 매번 김일성 주석과 김정일 국방위원장의 시신이 안치된 금수산태양궁전을 찾았던 김 위원장이 이번에는 아무런 공개활동을 하지 않았다        북한 노동당 기관지 노동신문은 16일 “당과 정부의 간부들과 무력기관 책임일군일꾼들이 15일 금수산태양궁전을 찾아 숭고한 경의를 표시했다”며 사진과 함께 보도했다       신문에 따르면 이날 참배에는 박봉주 국무위 부위원장과 최용해 최고인민회의 상임위원장 김재룡 내각 총리 등 노동당 정치국원 20여 명이 참가했다 김 위원장은 2012년 최고지도자에 오른 뒤 김 주석의 생일이나 사망일7월 8일에는 정치국원을 대동하고 참배하는 일정을 빼놓지 않았다       신종 코로나로 외부 활동을 대폭 줄였던 지난 2월 16일 김정일 국방위원장의 생일 때도 정치국원 17명으로 수행원을 일부 축소한 채 참배했다      김일성 주석의 생일북한은 태양절인 15일 북한 고위 간부들이 김 주석의 시신이 안치된 금수산태양궁전을 참배했다 김정은 국무위원장의 참배 소식이 전해지지 않은 채 본인 명의의 조화만 놓여있다 뉴스1       하지만 지난 15일 참배에 김 위원장은 모습을 드러내지 않았다 김 위원장의 공개 활동은 북한 매체들이 머리기사로 다루지만 16일 오전 현재 태양절과 관련해 그의 행보는 일절 전해지지 않고 있다       노동신문이 공개한 사진을 보면 금수산태양궁전 1층에 있는 김 주석과 김정일 위원장의 입상 앞에 김 위원장 명의의 조화는 포착됐다 김 위원장이 여동생인 김여정 당 제1부부장 등과 함께 ‘조용히’ 참배한 뒤 조화를 놓고 갔을 수는 있다       그러나 북한 매체들이 이를 전하지 않을 이유가 없을 뿐만 아니라 당 고위 간부들이 별도로 참배했다는 점에서 그가 참배를 생략했을 것이란 관측이 많다       정부 당국자는 “김 위원장은 새해나 각종 기념일을 맞아 기념보고대회 참석 등 다른 일정은 하지 않더라도 금수산태양궁전 참배는 빼놓지 않았다”며 “북한 매체 보도가 판단 기준이긴 하지만 공개 활동은 파악되지 않고 있다”고 말했다      북한 노동당과 정부 군 고위 간부들이 김일성 주석의 생일북한은 태양절을 맞아 그의 시신이 안치된 금수산태양궁전을 참배했다고 북한 매체들이 16일 전했다 김정은 국무위원장의 모습은 보이지 않는다 뉴스1       북한 매체에 김 위원장의 참배 소식이 나오지 않는 것과 관련 그가 지난 12일 서부지구 공군 부대를 시찰한 뒤 참배를 하지 못할 정도로 건강이 좋지 않은 게 아니냐는 관측도 나오고 있다       또 지난 12일 지방에서 수 백명의 대의원국회의원이 평양에 집결해 최고인민회의를 개최한 만큼 신종 코로나 감염 가능성을 우려해 활동을 중단했다는 시각도 있다 다른 정부 당국자는 “현재로는 여러 가능성을 열어 두고 상황을 파악 중”이라고 말했다      정용수 기자  ▶ 난 진보 보수 초간단 정치성향 테스트▶ 내 돈 관리는 그게머니  중앙일보 가기중앙일보 무단 전재 및 재배포 금지	,0
    		머니투데이 권다희  기자 300평양 노동신문뉴스1  북한 노동당과 정부의 간부들과 무력기관 책임일꾼들이 태양절김일성 주석 생일·4월 15일을 맞아 금수산태양궁전을 15일 찾았다고 노동당 기관지 노동신문이 16일 보도했다 금수산태양궁전은 김일성 주석·김정일 국방위원장의 시신이 안치된 곳이다 최룡해 국무위원회 제1부위원장 박봉주 국무위원회 부위원장 김재룡 내각총리 등이 참배했다 김정은 국무위원장은 참배를 하지 않은 것으로 보인다   5국내에서만 사용가능 재배포 금지  금지          5 1김정은 북한 국무위원장이 김일성 주석 생일인 15일태양절 금수산 태양궁전 참배 행사에 참석하지 않은 것으로 보인다 불참이 맞다면 김정은 집권 후 처음이라 매우 이례적이란 평가다 16일 북한 노동당 기관지 노동신문은 민족 최대의 경사스러운 태양절에 즈음하여 당과 정부의 간부들과 무력기관 책임일군들이 15일 금수산 태양궁전을 찾아 숭고한 경의를 표시했다고 보도했다 그러나 김 위원장 참석 여부는 전하지 않았다 노동신문이 이날 공개한 사진에도 김 위원장의 모습은 없었다 최룡해 최고인민회의 상임위원장 겸 국무위원회 제1부위원장 박봉주 국무위원회 부위원장 등 간부들만 보였다 북한 매체가 김 위원장 참석 여부를 기록하지 않은데다 사진에도 빠져 있는 것으로 볼 때 이날 행사엔 김 위원장이 참석하지 않았을 가능성이 높은 것으로 추정된다 불참이 맞다면 상당히 이례적이다 금수산 태양궁전은 김일성 주석·김정일 국방위원장의 시신이 안치된 곳으로 김 위원장은 집권한 2012년 후 매해 태양절과 광명성절2월16일·김정일 국방위원장 생일에 이곳을 찾았다 김 위원장은 코로나19에 따른 전국적 비상 방역 상황에서도 아버지 김정일 국방위원장 생일인 지난 2월 16일 즈음엔 금수산 태양궁전을 참배하고 이를 북한 매체를 통해 공개했다  통일부 당국자는 이날 기자들과 만나 김 위원장이 집권한 2012년 후 소위 광명성절 태양절 즈음 금수산 태양궁전의 참배를 빠짐없이 해왔다고 보도됐다며 이번에 만약 김 위원장이 방문하지 않았다면 매우 이례적인 것이라 했다 불참 이유에 대해서는 다양한 분석이 있을 수 있을테고 가장 쉽게 분석할 수 있는 것이 코로나19와 관련지어 참배하지 않을 수 있다는 것이라했다그러나 이어 논리적으로 보면 방역 조치가 시행 중인 지난 2월에 김정일 위원장 생일에는 참배를 했다며 만약 가지 않았다면 그 이유에 대해선 좀 더 분석의 시간이 필요한 것으로 보인다고 덧붙였다 한편 북한은 지난 14일 단거리 순항미사일 발사 역시 다음날 북한 매체를 통해 보도하지 않았다 북한은 발사체 발사 다음 날 통상적으로 북한 매체를 통해 군사훈련 소식을 전했는데 이번엔 같은 추이를 보이지 않은 것이다다만 2016년 4월 15일 태양절에도 합동참모본부는 북한이 미사일을 쐈다고 발표했지만 북한이 보도하지 않은 전례가 있다  이 당국자는 북한이 이 문제순항미사일 발사를 보도할 것인지 말 것인지에 대해선 우리가 어떤 패턴이 있다고 말하기는 좀 어렵다고 덧붙였다권다희  기자 27▶줄리아 투자노트▶조 변호사의 가정상담소 ▶머니투데이 구독하기 저작권자  돈이 보이는 리얼타임 뉴스 머니투데이 무단전재 및 재배포 금지	,0
    사진 출처  세월호 관련 막말 논란을 일으켰던 차명진 미래통합당 경기 부천병 후보가 당 지도부가 총선 참패 원인을 자신에게 돌린다며 반발했다낙선한 차 후보는 16일 페이스북에 글을 올려 자기들의 책임을 면하기 위해 패배 원인을 차명진의 세월호 막말 탓으로 돌린다라고 말했다차 후보는 여론조사는 이미 공천 때부터 더불어민주당 대 미래통합당이 21이었다라며 김종인 총괄선거대책위원장 박형준 공동선거대책위원장 입당 후 더 나빠졌다 차명진 발언 이전에 있었던 일이라고 주장했다그러면서 수천 건의 여론조사가 거짓이었다고 억지로 우겨야만 차명진 때문에 졌다고 강변할 수 있다라며 자기들도 선거 전에는 통합당 지지율이 안 오르는 것이 코로나19 공천 파동 지도부 탓이라고 했다라고 밝혔다전날15일  4·15 총선 개표방송에 박 위원장과 함께 출연한 유시민 노무현재단 이사장도 비판했다자 후보는 패배를 차명진 탓으로 돌리는 박형준의 발언을 옆에서 듣는 유시민이 환호작약하더라라며 형준아 시민아 우리 친구잖아 너희들 참 매정하구나라고 말했다 차 후보와 박 위원장 유 이사장은 모두 1959년생이며 차 후보와 유 이사장은 같은 시기 서울대를 다녔다 또 세월호 참사 6주기이기도 한 이날 차 후보는 모든 것을 걸고 무너뜨린 세월호 우상화의 탑이 이렇게 다시 보란 듯이 복원되다니 비통하다라고 말하기도 했다지난 8일 차 후보는  후보자 초청 토론회에서 세월호 유족을 향해 원색적인 주장을 펼쳤다 이 막말 논란으로 차 후보는 당 최고위원회에서 제명됐지만 법원의 무효 결정에 따라 통합당 후보로 선거를 완주했다  문지영 기자저작권자     무단전재 및 재배포 금지▶ 이 시각 코로나19 확진자 현황을 확인하세요 ▶ 네이버채널 구독하고 스타벅스 기프티콘 받아가세요  ▶ 제21대 국회의원 선거 기사 모음 ,0
    제21대 총선 경기 부천병에 출마한 미래통합당 차명진 후보가 지난 10일 오후 경기도 부천시 소사구 일대에서 유세차량을 타고 시민들에게 지지를 호소하고 있다 이미지출처연합뉴스아시아경제 윤신원 기자 차명진 미래통합당 후보가 16일 미래통합당이 4·15 총선에서 패배한 것을 자신의 막말 탓이라고 책임을 돌리고 있다고 주장했다차 후보는 이날 자신의 페이스북에 부관참시剖棺斬屍라는 글을 올리면서 자기들의 책임을 면하기 위해 패배 원인을 차명진의 세월호 막말 탓으로 돌린다고 말했다그는 여론조사는 이미 공천 때부터 민주당 대 통합당이 2대 1이었고 한 달 동안 한 번의 반전도 없었다 김종인 박형준 입당 후 더 나빠졌고 각 지역의 개별 여론 조사 결과도 마찬가지라며 모두 차명진 발언 이전에 있었던 일이라고 지적했다이어 수 천 건의 여론조사가 거짓이었다고 우겨야만 이 팩트를 눈 감을 수 있다며 차명진 때문에 졌다고 강변할 수 있다고 덧붙였다또 자기들도 선거 전에는 미래통합당 지지율이 안 오르는 것이 신종 코로나바이러스감염증코로나19 공천 파동 탓이라고 했다며 무감동한 지도부 때문이라고 했다고 주장했다차 후보는 그런데 이제 와서 차명진 막말 탓이라고 한다며 혹시 그 즈음 지지율이 오르다가 차명진의 세월호 텐츠 폭로 때문에 급락한 자료가 있는지 묻는다 그거 내놓고 차명진을 욕하기 바란다고 강조했다 그러면서 통합당 게시판에는 차명진 제명을 반대하는 뜨거운 항의가 줄을 이었고 중앙당과 수도권 당의 전화는 마비가 됐다는 소리를 실무자에게도 들었다 그래서 윤리위가 제명에서 탈당 권유로 바꾼 게 아니냐고 주장했다또 차 후보는 아무리 자기들이 언론을 장악하고 있다고 해서 이렇게 거짓사실로 인과관계를 뒤집을 수 있냐며 차명진을 마녀사냥 할 수 있는 것이냐 죽은 자를 또 죽일 수 있냐고 반문했다전날  개표방송에 박형준 통합당 공동선거대책위원장과 함께 패널로 출연한 유시민 노무현재단 이사장도 비난했다 그는 어제15일 방송에서 총선의 패배를 차명진 탓으로 돌리는 박형준의 발언을 옆에서 듣는 유시민이 은근 미소를 떠나 환호작약하더라며 형준아 시민아 우리 친구잖아 너희들 참 매정하구나라고 했다 차 후보와 박 위원장 유 이사장은 1959년생 동갑으로 특히 유 이사장과는 같은 시기에 서울대를 다닌 바 있다앞서 지난 8일 차 후보는  후보자 초청토론회에서 2018년 5월에 세월호 자원봉사자와 세월호 유가족이 텐트 안에서 말로 표현할 수 없는 문란한 행위를 했다는 기사를 이미 알고 있다고 발언해 논란이 됐다 당시 차 후보는 긴급 최고위원회에서 제명됐지만 법원의 무효 결정에 따라 통합당 후보로 선거를 치렀다이에 박형준 위원장은 차 후보의 세월호 텐트 관련 막말이 통합당 수도권 판도에 부정적인 영향을 미쳤다고 지적했다윤신원 기자 ▶ 소름 쫙 2020년 내 대운 시기 확인하기▶ 네이버에서 아시아경제 뉴스를 받아보세요 ▶ 놀 준비 되었다면 드루와  드링킷경제를 보는 눈 세계를 보는 창 아시아경제 무단전재 배포금지	,0
